song_title,artist,Genre
Cruel Summer,Taylor Swift,Pop
Lovin On Me,Jack Harlow,Rap
Paint The Town Red,Doja Cat,Pop
Snooze,SZA,Rap
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,Pop
I Remember Everything,Zach Bryan Featuring Kacey Musgraves,Country
Fast Car,Luke Combs,Country
Greedy,Tate McRae,Pop
Last Night,Morgan Wallen,Country
Thinkin' Bout Me,Morgan Wallen,Country
Houdini,Dua Lipa,Pop
White Horse,Chris Stapleton,Country
Need A Favor,Jelly Roll,Country
Agora Hills,Doja Cat,Pop
Water,Tyla,Pop
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,Rap
All I Want For Christmas Is You,Mariah Carey,Classic
Fukumean,Gunna,Rap
Save Me,Jelly Roll With Lainey Wilson,Country
Dance The Night,Dua Lipa,Pop
Vampire,Olivia Rodrigo,Pop
Used To Be Young,Miley Cyrus,Pop
Lil Boo Thang,Paul Russell,Pop
Monaco,Bad Bunny,Latin
First Person Shooter,Drake Featuring J. Cole,Rap
IDGAF,Drake Featuring Yeat,Rap
What Was I Made For?,Billie Eilish,Pop
Good Good,"Usher, Summer Walker & 21 Savage",Rap
Flowers,Miley Cyrus,Pop
My Love Mine All Mine,Mitski,Alternative
Stick Season,Noah Kahan,Country
Last Christmas,Wham!,Classic
Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,Pop
Dial Drunk,Noah Kahan With Post Malone,Country
What It Is (Block Boy),Doechii Featuring Kodak Black,Rap
Kill Bill,SZA,Rap
Northern Attitude,Noah Kahan With Hozier,Country
Jingle Bell Rock,Bobby Helms,Classic
Lose Control,Teddy Swims,Pop
Harley Quinn,Fuerza Regida & Marshmello,Latin
Daylight,David Kushner,Alternative
I Know ?,Travis Scott,Rap
Wild Ones,Jessie Murph & Jelly Roll,Country
A Holly Jolly Christmas,Burl Ives,Classic
Barbie World,Nicki Minaj & Ice Spice With Aqua,Rap
Pretty Little Poison,Warren Zeiders,Country
World On Fire,Nate Smith,Country
On My Mama,Victoria Monet,Rap
Slut! (Taylor's Version) [From The Vault],Taylor Swift,Pop
Standing Next To You,Jung Kook,Pop
500lbs,Lil Tecca,Rap
Strangers,Kenya Grace,Alternative
Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift,Pop
Bad Idea Right?,Olivia Rodrigo,Pop
Great Gatsby,Rod Wave,Rap
Get Him Back!,Olivia Rodrigo,Pop
Can't Have Mine,Dylan Scott,Country
Virginia Beach,Drake,Rap
Everything I Love,Morgan Wallen,Country
Standing Room Only,Tim McGraw,Country
Try That In A Small Town,Jason Aldean,Country
The Painter,Cody Johnson,Country
Cobra,Megan Thee Stallion,Rap
Truck Bed,HARDY,Country
Qlona,Karol G & Peso Pluma,Latin
Too Much,"The Kid LAROI, Jung Kook & Central Cee",Pop
Perro Negro,Bad Bunny & Feid,Latin
Hey Driver,Zach Bryan Featuring The War And Treaty,Country
Style (Taylor's Version),Taylor Swift,Pop
Rich Men North Of Richmond,Oliver Anthony Music,Country
Meltdown,Travis Scott Featuring Drake,Rap
Bongos,Cardi B & Megan Thee Stallion,Rap
Slime You Out,Drake Featuring SZA,Rap
Segun Quien,Maluma & Carin Leon,Latin
Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,Latin
Now And Then,The Beatles,Classic
Single Soon,Selena Gomez,Pop
Burn It Down,Parker McCollum,Country
LaLa,Myke Towers,Latin
Bad Blood (Taylor's Version),Taylor Swift,Pop
Can't Catch Me Now,Olivia Rodrigo,Pop
Turks & Caicos,Rod Wave Featuring 21 Savage,Rap
SkeeYee,Sexyy Red,Rap
3D,Jung Kook & Jack Harlow,Rap
Out Of The Woods (Taylor's Version),Taylor Swift,Pop
Wildest Dreams (Taylor's Version),Taylor Swift,Pop
El Amor de Su Vida,Grupo Frontera & Grupo Firme,Latin
Save Me The Trouble,Dan + Shay,Country
Stars Like Confetti,Dustin Lynch,Country
LALALALA,Stray Kids,Alternative
Seven,Jung Kook Featuring Latto,Pop
Suburban Legends (Taylor's Version) [From The Vault],Taylor Swift,Pop
Blank Space (Taylor's Version),Taylor Swift,Pop
We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,Country
Smurk Carter,Lil Durk,Rap
Mi Ex Tenia Razon,Karol G,Latin
Different 'Round Here,Riley Green Featuring Luke Combs,Country
But I Got A Beer In My Hand,Luke Bryan,Country
Better Than Ever,YoungBoy Never Broke Again & Rod Wave,Rap
Soak City (Do It),310babii,Rap